No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
18,Month,August,October ,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
17,Month,July,September ,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
7,Month,July,September ,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
35,Month,May,July,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
27,Month,July,September ,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
21,Month,January,March,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
32,Month,February,April,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
31,Month,January,March,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
39,Month,September ,November ,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
30,Month,October ,December,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
38,Month,August,October ,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
26,Month,June,August,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
37,Month,July,September ,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
25,Month,May,July,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
22,Month,February,April,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
34,Month,April,June,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
36,Month,June,August,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
28,Month,August,October ,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
24,Month,April,June,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
40,Month,October ,December,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
33,Month,March,May,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
23,Month,March,May,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
29,Month,September ,November ,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
60,Month,December,October ,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
53,Month,May,March,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
51,Month,March,January,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
59,Month,November ,September ,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
57,Month,September ,July,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
47,Month,September ,July,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
44,Month,June,April,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
55,Month,July,May,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
43,Month,May,March,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
52,Month,April,February,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
56,Month,August,June,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
58,Month,October ,August,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
48,Month,October ,August,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
54,Month,June,April,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
41,Month,March,January,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
46,Month,August,June,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
45,Month,July,May,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
42,Month,April,February,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
50,Month,December,October ,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
49,Month,November ,September ,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
68,Month,October ,August,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
77,Month,September ,July,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
62,Month,April,February,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
70,Month,December,October ,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
71,Month,March,January,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
74,Month,June,April,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
73,Month,May,March,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
65,Month,July,May,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
69,Month,November ,September ,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
67,Month,September ,July,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
76,Month,August,June,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
79,Month,November ,September ,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
72,Month,April,February,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
75,Month,July,May,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
80,Month,December,October ,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
78,Month,October ,August,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
61,Month,March,January,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
64,Month,June,April,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
63,Month,May,March,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
66,Month,August,June,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
11,Month,February,May,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
13,Month,April,July,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
14,Month,May,August,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
8,Month,August,November ,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
10,Month,January,April,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
16,Month,July,October ,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
17,Month,August,November ,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
6,Month,June,September ,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
1,Month,January,April,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
5,Month,May,August,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
12,Month,March,June,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
18,Month,September ,December,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
4,Month,April,July,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
3,Month,March,June,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
15,Month,June,September ,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
2,Month,February,May,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
7,Month,July,October ,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
9,Month,September ,December,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
20,Month,February,May,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
33,Month,June,September ,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
36,Month,September ,December,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
23,Month,May,August,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
25,Month,July,October ,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
34,Month,July,October ,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
27,Month,September ,December,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
30,Month,March,June,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
32,Month,May,August,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
21,Month,March,June,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
22,Month,April,July,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
24,Month,June,September ,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
19,Month,January,April,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
28,Month,January,April,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
29,Month,February,May,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
26,Month,August,November ,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
31,Month,April,July,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
35,Month,August,November ,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
37,Month,April,January,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
39,Month,June,March,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
38,Month,May,February,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
54,Month,December,September ,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
45,Month,December,September ,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
50,Month,August,May,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
53,Month,November ,August,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
46,Month,April,January,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
47,Month,May,February,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
51,Month,September ,June,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
